"PO_BLANKET_ID","PO_RELEASE_ID","LINE_ID","SHIPMENT_ID","CATEGORY_ID","CANCEL_FLAG","UOM","AMOUNT","QTY","GEOGRAPHY_ID","CONTRACT_ID","CONTRACT_LINE_ID","ORIGINAL_DUE_DATE","LATEST_DUE_DATE","SHIPMENT_LINE"
32840,58412,116334,116334,114,"N","Each",1816.45,85,207,32840,38311,27/JAN/05,27/JAN/05,2
32844,58414,116339,116339,114,"N","Each",97.75,85,207,32844,38341,27/JAN/05,27/JAN/05,1
32844,58414,116340,116340,114,"N","Each",97.75,85,207,32844,38342,27/JAN/05,27/JAN/05,2
32984,58415,116341,116341,91,"N","Each",21707,70,207,32984,38530,20/JAN/05,20/JAN/05,1
32984,58415,116342,116342,91,"N","Each",19767,20,207,32984,38531,20/JAN/05,20/JAN/05,2
32984,58417,116345,116345,91,"N","Each",15505,50,209,32984,38530,20/JAN/05,20/JAN/05,1
32984,58417,116346,116346,91,"N","Each",19767,20,209,32984,38531,20/JAN/05,20/JAN/05,2
32840,58558,116712,116712,114,"N","Each",1816.45,85,207,32840,38310,31/JAN/05,31/JAN/05,1
32840,58558,116713,116713,114,"N","Each",1816.45,85,207,32840,38311,31/JAN/05,31/JAN/05,2
32844,58560,116718,116718,114,"N","Each",97.75,85,207,32844,38341,31/JAN/05,31/JAN/05,1
32844,58560,116719,116719,114,"N","Each",97.75,85,207,32844,38342,31/JAN/05,31/JAN/05,2
32984,58561,116720,116720,91,"N","Each",323.4,154,207,32984,38529,31/JAN/05,31/JAN/05,1
32984,58561,116721,116721,91,"N","Each",20466.6,66,207,32984,38530,24/JAN/05,24/JAN/05,2
32984,58561,116722,116722,91,"N","Each",20755.35,21,207,32984,38531,24/JAN/05,24/JAN/05,3
32839,58618,116931,116931,30,"N","Each",34401.1,230,207,32839,38307,01/FEB/05,01/FEB/05,1
32840,58619,116932,116932,114,"N","Each",1816.45,85,207,32840,38310,01/FEB/05,01/FEB/05,1
32841,58620,116934,116934,114,"N","Each",57992.2,230,207,32841,38320,01/FEB/05,01/FEB/05,1
32841,58620,116935,116935,32,"N","Each",3930.7,230,207,32841,38321,01/FEB/05,01/FEB/05,2
32843,58622,116941,116941,114,"N","Each",4915.1,230,207,32843,38339,01/FEB/05,01/FEB/05,1
32844,58623,116942,116942,114,"N","Each",97.75,85,207,32844,38341,01/FEB/05,01/FEB/05,1
32844,58623,116943,116943,114,"N","Each",97.75,85,207,32844,38342,01/FEB/05,01/FEB/05,2
32845,58624,116944,116944,114,"N","Each",393.3,230,207,32845,38353,01/FEB/05,01/FEB/05,1
32845,58624,116945,116945,34,"N","Each",5897.2,230,207,32845,38354,01/FEB/05,01/FEB/05,2
32984,58625,116946,116946,91,"N","Each",29459.5,95,209,32984,38530,25/JAN/05,25/JAN/05,1
32984,58625,116947,116947,91,"N","Each",26358.5,85,207,32984,38530,25/JAN/05,25/JAN/05,2
32984,58625,116948,116948,91,"N","Each",31627.2,32,209,32984,38531,25/JAN/05,25/JAN/05,3
32984,58625,116949,116949,91,"N","Each",33603.9,34,207,32984,38531,25/JAN/05,25/JAN/05,4
