INVOICE_HOLDS,549634,211345,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,1-Jul-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,1-Jul-15,SYSTEM,,
INVOICE_HOLDS,568634,213937,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,21-Jul-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,27-Aug-15,SYSTEM,,
INVOICE_HOLDS,578639,215346,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,4-Aug-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,4-Aug-15,SYSTEM,,
INVOICE_HOLDS,541632,208285,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,3-Jun-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,3-Jun-15,SYSTEM,,
INVOICE_HOLDS,531631,206505,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,12-May-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,12-May-15,SYSTEM,,
INVOICE_HOLDS,612649,204848,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,8-Oct-15,SYSTEM,,,,,,,
INVOICE_HOLDS,612650,223099,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,8-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,9-Oct-15,SYSTEM,,
INVOICE_HOLDS,612651,223098,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,8-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,9-Oct-15,SYSTEM,,
INVOICE_HOLDS,612652,223097,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,8-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,9-Oct-15,SYSTEM,,
INVOICE_HOLDS,612653,204848,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,8-Oct-15,SYSTEM,,,,,,,
INVOICE_HOLDS,612654,223100,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,8-Oct-15,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,9-Oct-15,SYSTEM,,
