RECORD_TYPE:INVOICE_HOLDS,INVOICE_HOLD_ID,INVOICE_ID,HOLD_NAME,HOLD_REASON,HOLD_DATE,HOLD_SOURCE,HELD_BY_PERSON_ID,RELEASE_NAME,RELEASE_REASON,RELEASE_DATE,RELEASE_SOURCE,RELEASED_BY_PERSON_ID,HOLD_COMMENTS
INVOICE_HOLDS,56881,157880,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56882,157880,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56883,157881,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56884,157881,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56885,157882,QTY ORD,Quantity billed exceeds quantity ordered,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56886,157882,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,21834,157953,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21835,157953,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21838,157953,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21839,157954,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21842,157955,QTY REC,Quantity billed exceeds quantity received,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21843,157955,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21846,157957,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21847,157957,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,23271,153714,PRICE,Invoice price exceeds purchase order price,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,12-Jul-13,MANUAL,25,
INVOICE_HOLDS,23274,153714,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,12-Jul-13,MANUAL,25,
INVOICE_HOLDS,21299,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21303,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21307,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21311,157741,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,27835,157742,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27838,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27839,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27842,157744,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27843,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27846,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27847,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27850,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27851,157744,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,26835,156532,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,11-Sep-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,18-Sep-13,SYSTEM,,
INVOICE_HOLDS,28563,153170,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,12-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,25-Aug-13,MANUAL,57,
INVOICE_HOLDS,23015,153170,PRICE,Invoice price exceeds purchase order price,7-Jul-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,7-Jul-13,MANUAL,57,
INVOICE_HOLDS,73252,164866,PRICE,Invoice price exceeds purchase order price,22-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,22-Nov-13,MANUAL,57,
INVOICE_HOLDS,73253,164866,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,22-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,22-Nov-13,MANUAL,57,
INVOICE_HOLDS,73255,164868,PRICE,Invoice price exceeds purchase order price,22-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,22-Nov-13,MANUAL,57,
INVOICE_HOLDS,73256,164868,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,22-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,22-Nov-13,MANUAL,57,
INVOICE_HOLDS,68194,156211,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,20-Nov-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,16-Feb-14,SYSTEM,,
INVOICE_HOLDS,56865,157614,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,56861,157614,QTY REC,Quantity billed exceeds quantity received,14-Nov-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,20-Nov-13,MANUAL,25,
INVOICE_HOLDS,21298,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21302,157741,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21306,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21310,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,26834,156285,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,11-Sep-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,18-Sep-13,SYSTEM,,
INVOICE_HOLDS,22826,156454,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,24-Aug-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,24-Aug-13,MANUAL,57,
INVOICE_HOLDS,28418,157723,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28422,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28426,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28430,157723,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28434,157724,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,21833,157953,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21837,157953,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21841,157955,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21845,157956,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,23253,153713,DIST VARIANCE,Total of invoice distributions does not equal invoice amount,12-Jul-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,12-Jul-13,SYSTEM,,
INVOICE_HOLDS,21301,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21305,157741,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21309,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,27837,157742,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27841,157744,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27845,157744,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27849,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,26833,156211,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,11-Sep-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,16-Feb-14,SYSTEM,,
INVOICE_HOLDS,22825,156454,PRICE,Invoice price exceeds purchase order price,24-Aug-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,24-Aug-13,MANUAL,57,
INVOICE_HOLDS,28417,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28421,157723,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28425,157723,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28429,157723,QTY REC,Quantity billed exceeds quantity received,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,28433,157724,QTY ORD,Quantity billed exceeds quantity ordered,14-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,18-Sep-13,MANUAL,25,
INVOICE_HOLDS,21836,157953,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21840,157954,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21844,157956,QTY ORD,Quantity billed exceeds quantity ordered,23-Oct-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,21300,157741,QTY ORD,Quantity billed exceeds quantity ordered,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21304,157741,QTY REC,Quantity billed exceeds quantity received,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,21308,157741,MAX TOTAL AMOUNT,Sum of invoice and exchange rate variances exceeds limit,17-Sep-13,SYSTEM,,INVOICE QUICK RELEASED,Holds released in Invoice Holds window,17-Sep-13,MANUAL,25,
INVOICE_HOLDS,27804,156532,LINE VARIANCE,Total of Invoice Lines does not equal Invoice Amount,18-Sep-13,SYSTEM,,VARIANCE CORRECTED,Invoice variance corrected,18-Sep-13,SYSTEM,,
INVOICE_HOLDS,27836,157742,QTY REC,Quantity billed exceeds quantity received,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
INVOICE_HOLDS,27840,157744,QTY ORD,Quantity billed exceeds quantity ordered,18-Sep-13,SYSTEM,,MATCH OVERRIDE,Matching hold released,2-Nov-13,MANUAL,25,
